id,coordinates,name,rating,review_count,price_level,category
#NAME?,POINT (-0.131019919103516 51.5063827265707),Institute Of Contemporary Arts,4,44,2,arts
SnMwJ5T7250B5547-4wI9A,POINT (-0.1430625 51.5396805),Electric Ballroom,4,43,2,arts
FoBfAxw9oZVh-WBqmOJsVA,POINT (-0.227553046892955 51.4885595820839),Riverside Studios,4.5,43,2,arts
H3Kepde059LSnNhKy1Pjfg,POINT (-0.14921327694168 51.442671525594),The Bedford,4,43,2,arts
ElMhAz3L1a26RA-80dguZw,POINT (-0.0800395 51.5301725),The Macbeth,3.5,39,2,arts
jzeEriDLd6VJRleGmFG70w,POINT (-0.08016330000000001 51.5263),The Diner Shoreditch,3,39,2,arts
IhGa9JxvdGeZm-U-gVA3qw,POINT (-0.148471 51.542969),The Monarch,3.5,38,2,arts
JQivhGlwmxkeS7a-U-GgqA,POINT (-0.0667762756347656 51.5105854325666),Wilton's Music Hall,4.5,38,2,arts
OQ1dqIF73uP6O5noZP_7Eg,POINT (-0.080362003315629 51.527267010015),333 Mother Bar,2.5,37,2,arts
Ejso8OUev2OV44a8xLbXyg,POINT (-0.224193 51.503868),O2 Shepherd's Bush Empire,3.5,36,2,arts
qrUbUrPBg7RL-bNzpzzxNQ,POINT (-0.113342337031209 51.4553348340329),Hootananny,4,36,2,arts
vDYVC5x9dSwCOZ78iDsRsg,POINT (-0.121945 51.4860659),Royal Vauxhall Tavern,4,35,2,arts
wGdq0DxcpSeYtwx6_fQjlA,POINT (-0.13323999941349 51.512020111084),Gielgud Theatre,4.5,35,2,arts
ZX8bphy_0wblveWa7aVl9g,POINT (-0.1507717 51.442982),The Exhibit,3.5,35,2,arts
b4iyNQQBX2X8a5lmsG7pCA,POINT (-0.106613 51.534469),O2 Academy Islington,3.5,34,2,arts
_I0XFcik7O0x4VEGeQIBCg,POINT (-0.130548 51.515096),The Borderline,4,33,2,arts
h_lU6hvLWmKJPfRwGrv6Tg,POINT (-0.0325703456536754 51.4757511346773),The Amersham Arms,4,31,2,arts
QriIZZXIIYRlzYG_HSGdJQ,POINT (-0.156518185947144 51.4925592283224),Royal Court Theatre,4.5,30,2,arts
LGWpJf_3EJbbk1qMNHf0ag,POINT (-0.1819652922312 51.47813751937),606 Club,4.5,30,2,arts
dwMtepKYg-2mhfizUJMVOg,POINT (-0.103971 51.546742),The Garage,4,29,2,arts
jUIAdIAN9ytcAwJG1iA09A,POINT (-0.130074470926743 51.5142404105761),The Cafe @ Foyles,3.5,29,2,arts
8-TgqWdGzKd-b0f11-MASQ,POINT (-0.076071 51.54871),Dalston Jazz Bar,4,28,2,arts
ik-78ZOxMcjYo90cUqOXzg,POINT (-0.224223 51.503498),Shepherds Bush Empire,4,28,2,arts
ivzqT09brZsYKEJZY9_qlA,POINT (-0.08544377932653401 51.525444588747),XOYO,3.5,28,2,arts
ggFS4NyB-iaVz6O3WVBCig,POINT (-0.0923129 51.5026956),Roxy Bar & Screen,3.5,28,2,arts
s6XZIRQkvnbSlfw43LRDjQ,POINT (-0.231687344180273 51.5064052302312),Bush Hall Music,4.5,28,2,arts
IrR3xFPYhYIpo-YkXyWY_A,POINT (-0.0747883560309078 51.5469106942846),Café Oto,4,28,2,arts
mM1b_zgmQ_Pyj8Gmc58Tpg,POINT (-0.12484073638916 51.4885783958466),Tamesis Dock,3.5,27,2,arts
ctxD2MTOQMsHcDmWJ8yL_Q,POINT (-0.14925982752823 51.543146724567),Barfly,3,27,2,arts
1ukDf0pCK-7KKqd5k99Tug,POINT (-0.129527 51.514441),Phoenix Theatre,4,27,2,arts
sKp0gkdde9hag6q6Xd36gw,POINT (-0.142984 51.539693),The Midnight Rebel Band,3.5,27,2,arts
r29hM7GQKkPyTslhtGVi3Q,POINT (-0.114824050446974 51.4615158361667),The Prince of Wales,3.5,26,2,arts
DiS_ov2F1E5hYX4nS2jqzg,POINT (-0.2326856 51.4968774),Andover Arms,4.5,26,2,arts
GLwlCe9dRDtRvjeQ-bBu-Q,POINT (-0.14065004384714 51.549771394244),The Oxford,3.5,26,2,arts
xSqj_nVc38rgTFkwP8_-YQ,POINT (-0.14318484710043 51.538732436501),Jazz Cafe,3.5,26,2,arts
qIilL4zehrFIFHqjoo_RCA,POINT (-0.166769027709961 51.4269222179313),Tooting Tram and Social,4,25,2,arts
Oyut7-L6RDFJJugIONB6Nw,POINT (-0.100755123837709 51.4527530528328),The Half Moon,4,25,2,arts
ShCehNi6-0Ml4Ag8Odbz4g,POINT (-0.1353042 51.5203316),Pollock's Toy Museum,4,25,2,arts
W45votnoN0D6Q1vU_GJrXg,POINT (-0.08374984517325861 51.5259291627647),Floripa,3,24,2,arts
hZ5e2XG2TEIR2E6MCrV6eA,POINT (-0.14199077760942 51.552239161752),The Forum,3.5,24,2,arts
ZsvAq-7mwVE4VBB4Q82jaQ,POINT (-0.17040910213262 51.462851913426),Project Orange,4.5,24,2,arts
JAQjDekk-DZ0qf5-3hDulA,POINT (-0.138423442840576 51.5568156548447),Aces & Eights,4,23,2,arts
haUR9ZH0sUgRfU0IDU4SMg,POINT (-0.127672 51.512847),St Martin's Theatre,4,23,2,arts
wBDgSt7pZZdijZrItCejKQ,POINT (-0.055035735750951 51.544696928041),Hackney Picturehouse,4,23,2,arts
h_7IqiB0uovINgGmy6tm-g,POINT (-0.11206571910713 51.4705975325762),Brixton Jamm,3,23,2,arts
oIVzGzHGAKMego1kxiREiQ,POINT (-0.123096 51.524132),Curzon Bloomsbury,4,23,2,arts
vbKuAz6Tmks7a1YV7NtxOw,POINT (-0.1034354 51.5432942),Hope & Anchor,3.5,23,2,arts
