,idlat,lng,coordinates,name,rating,review_count,price_level,category
175,,-0.0715507998863814,POINT (-0.0715507998863814 51.5212392528136),93 Feet East,3.5,59,2,arts
176,,-0.073118,POINT (-0.073118 51.524355),Rich Mix,4.0,59,2,arts
177,,-0.12877836869184,POINT (-0.12877836869184 51.5114481358807),Hippodrome Casino,4.0,57,2,arts
178,,-0.102769,POINT (-0.102769 51.54437),Union Chapel,4.5,55,2,arts
179,,-0.111874,POINT (-0.111874 51.531721),The Lexington,3.5,55,2,arts
180,,-0.114903511888904,POINT (-0.114903511888904 51.4651860270066),O2 Academy Brixton,4.0,55,2,arts
181,,-0.081736889127628,POINT (-0.081736889127628 51.528021687624),Zigfrid von Underbelly,3.5,53,2,arts
182,,-0.14556884765625,POINT (-0.14556884765625 51.5374403159159),Dublin Castle,3.5,52,2,arts
183,,-0.136493,POINT (-0.136493 51.514237),Barrio Central,4.0,50,2,arts
184,,-0.0781682810583805,POINT (-0.0781682810583805 51.5261481076847),Barrio Shoreditch,3.0,48,2,arts
185,,-0.10255137447907,POINT (-0.10255137447907 51.538436085252),King's Head Pub and Theatre,4.0,47,2,arts
186,,-0.0802154487713014,POINT (-0.08021544877130141 51.5265204642608),The Blues Kitchen,4.0,46,2,arts
187,,-0.131019919103516,POINT (-0.131019919103516 51.5063827265707),Institute Of Contemporary Arts,4.0,44,2,arts
188,,-0.1430625,POINT (-0.1430625 51.5396805),Electric Ballroom,4.0,43,2,arts
189,,-0.227553046892955,POINT (-0.227553046892955 51.4885595820839),Riverside Studios,4.5,43,2,arts
190,,-0.14921327694168,POINT (-0.14921327694168 51.442671525594),The Bedford,4.0,43,2,arts
191,,-0.0800395,POINT (-0.0800395 51.5301725),The Macbeth,3.5,39,2,arts
192,,-0.0801633,POINT (-0.08016330000000001 51.5263),The Diner Shoreditch,3.0,39,2,arts
193,,-0.148471,POINT (-0.148471 51.542969),The Monarch,3.5,38,2,arts
194,,-0.0667762756347656,POINT (-0.0667762756347656 51.5105854325666),Wilton's Music Hall,4.5,38,2,arts
195,,-0.080362003315629,POINT (-0.080362003315629 51.527267010015),333 Mother Bar,2.5,37,2,arts
196,,-0.224193,POINT (-0.224193 51.503868),O2 Shepherd's Bush Empire,3.5,36,2,arts
197,,-0.113342337031209,POINT (-0.113342337031209 51.4553348340329),Hootananny,4.0,36,2,arts
198,,-0.121945,POINT (-0.121945 51.4860659),Royal Vauxhall Tavern,4.0,35,2,arts
199,,-0.13323999941349,POINT (-0.13323999941349 51.512020111084),Gielgud Theatre,4.5,35,2,arts
200,,-0.1507717,POINT (-0.1507717 51.442982),The Exhibit,3.5,35,2,arts
