id_left,active_%,arts_%,auto_%,beautysvc_%,education_%,eventservices_%,financialservices_%,food_%,health_%,homeservices_%,hotelstravel_%,localflavor_%,localservices_%,massmedia_%,nightlife_%,pets_%,professional_%,publicservicesgovt_%,realestate_%,religiousorgs_%,restaurants_%,shopping_%
48,0,0.095238095,0,0.095238095,0.047619048,0.047619048,0,0.095238095,0,0.047619048,0.047619048,0,0,0,0.333333333,0,0,0,0.047619048,0,0.047619048,0.095238095
49,0,0.071428571,0,0.071428571,0,0.214285714,0,0.071428571,0.071428571,0,0.214285714,0,0,0.071428571,0,0,0,0,0,0,0.214285714,0
50,0.017699115,0.044247788,0,0.053097345,0.008849558,0.150442478,0,0.17699115,0,0,0.132743363,0,0.026548673,0,0.07079646,0,0.008849558,0,0,0,0.194690265,0.115044248
53,0.014084507,0.028169014,0,0.077464789,0.007042254,0.028169014,0,0.169014085,0.007042254,0.007042254,0.028169014,0,0.021126761,0,0.161971831,0,0.007042254,0,0,0,0.295774648,0.147887324
54,0,0.02173913,0,0.050724638,0,0.144927536,0,0.050724638,0,0,0.144927536,0,0,0,0.217391304,0,0,0,0,0,0.311594203,0.057971014
55,0.048780488,0.146341463,0,0.024390244,0,0.146341463,0,0.024390244,0,0,0.12195122,0,0,0,0.146341463,0,0,0,0,0,0.317073171,0.024390244
59,0,0.011627907,0,0.034883721,0,0.034883721,0,0.197674419,0,0,0.023255814,0,0.011627907,0,0.209302326,0,0,0.011627907,0,0,0.255813953,0.209302326
60,0,0.0375,0,0.1875,0,0.125,0,0.125,0.0125,0,0.125,0,0.025,0,0.1125,0,0,0,0,0,0.175,0.075
61,0.00729927,0.00729927,0,0.160583942,0,0.04379562,0,0.175182482,0.00729927,0.00729927,0.03649635,0,0.02189781,0,0.124087591,0,0,0,0,0,0.306569343,0.102189781
62,0.007092199,0.014184397,0,0.092198582,0,0.085106383,0,0.134751773,0.007092199,0,0.063829787,0,0.028368794,0,0.177304965,0,0,0,0,0,0.255319149,0.134751773
63,0,0.051136364,0,0.125,0,0.017045455,0,0.136363636,0.005681818,0.005681818,0.011363636,0,0.022727273,0,0.1875,0,0,0,0,0,0.221590909,0.215909091
64,0,0,0,0.083333333,0,0.055555556,0,0.194444444,0,0.013888889,0,0,0.013888889,0,0.125,0,0,0,0,0,0.277777778,0.236111111
65,0,0.008032129,0,0.068273092,0,0.180722892,0,0.168674699,0.008032129,0,0.176706827,0,0.008032129,0,0.088353414,0,0,0,0,0,0.208835341,0.084337349
66,0,0.022727273,0,0.090909091,0.022727273,0.136363636,0,0.113636364,0,0,0.045454545,0,0.022727273,0,0.25,0,0,0,0,0,0.204545455,0.090909091
67,0.003278689,0.042622951,0,0.059016393,0,0.049180328,0,0.098360656,0,0,0.042622951,0,0.02295082,0,0.121311475,0,0,0,0,0,0.213114754,0.347540984
69,0.016949153,0,0,0.084745763,0,0.084745763,0,0.169491525,0.016949153,0,0.06779661,0,0.016949153,0,0.13559322,0,0,0,0,0,0.254237288,0.152542373
70,0.006535948,0.019607843,0,0.124183007,0,0.058823529,0,0.117647059,0.019607843,0,0.039215686,0,0.006535948,0,0.150326797,0,0,0,0,0,0.287581699,0.169934641
71,0,0,0,0.048387097,0,0.129032258,0,0.129032258,0,0,0.14516129,0,0.032258065,0,0.209677419,0,0,0,0,0,0.241935484,0.064516129
72,0.03030303,0,0,0.181818182,0,0.03030303,0,0.212121212,0.060606061,0,0.03030303,0,0.03030303,0,0.090909091,0,0,0,0,0,0.151515152,0.181818182
73,0,0.022988506,0,0.149425287,0,0.068965517,0,0.126436782,0.068965517,0,0.057471264,0,0.011494253,0,0.149425287,0,0.011494253,0,0,0,0.172413793,0.16091954
74,0.008264463,0.033057851,0,0.099173554,0,0.115702479,0,0.066115702,0,0,0.082644628,0,0.008264463,0,0.140495868,0,0,0,0,0,0.173553719,0.272727273
75,0.004464286,0.004464286,0,0.111607143,0,0.165178571,0,0.111607143,0.008928571,0,0.165178571,0,0.026785714,0,0.066964286,0,0,0,0,0,0.191964286,0.142857143
76,0,0.052631579,0,0.131578947,0,0.026315789,0,0.144736842,0,0,0,0.013157895,0.013157895,0,0.013157895,0,0,0,0,0,0.197368421,0.407894737
77,0,0.045602606,0,0.127035831,0.003257329,0.035830619,0,0.084690554,0.022801303,0.003257329,0.026058632,0,0.022801303,0,0.09771987,0,0.003257329,0,0,0,0.169381107,0.358306189
78,0,0,0,0.039215686,0,0.039215686,0,0.431372549,0,0,0.039215686,0,0.019607843,0,0.176470588,0,0,0,0,0,0.235294118,0.019607843
79,0.004291845,0.004291845,0,0.154506438,0.004291845,0.068669528,0,0.115879828,0.017167382,0.008583691,0.055793991,0,0.030042918,0,0.077253219,0,0,0,0,0,0.214592275,0.244635193
81,0,0.047619048,0,0.047619048,0,0.095238095,0,0.095238095,0,0,0.047619048,0,0.095238095,0,0.285714286,0,0,0,0,0,0.095238095,0.19047619
82,0.021276596,0.042553191,0,0.085106383,0,0.106382979,0,0.255319149,0,0,0.106382979,0,0.021276596,0,0.170212766,0,0,0,0,0,0.14893617,0.042553191
83,0,0.0125,0,0.1375,0,0.05625,0,0.14375,0.01875,0.00625,0.04375,0,0,0.00625,0.08125,0,0,0.00625,0.00625,0,0.25625,0.225
84,0.011627907,0.058139535,0,0.151162791,0,0.093023256,0,0.186046512,0.011627907,0,0.069767442,0,0.034883721,0,0.104651163,0,0,0,0,0,0.209302326,0.069767442
85,0.005681818,0.005681818,0,0.068181818,0,0.176136364,0,0.136363636,0.005681818,0.011363636,0.181818182,0,0.005681818,0,0.102272727,0,0,0,0,0,0.244318182,0.056818182
86,0.003731343,0.048507463,0,0.097014925,0.007462687,0.026119403,0,0.152985075,0.018656716,0.01119403,0.018656716,0,0.014925373,0.003731343,0.074626866,0.003731343,0.003731343,0,0,0,0.171641791,0.343283582
88,0,0.007575758,0,0.090909091,0,0.083333333,0,0.159090909,0.007575758,0.007575758,0.083333333,0,0,0,0.075757576,0,0.007575758,0,0,0,0.303030303,0.174242424
90,0,0,0,0.076923077,0,0,0,0.153846154,0,0,0,0,0.076923077,0,0.230769231,0,0,0,0,0,0.461538462,0
91,0,0.08,0,0.12,0,0,0,0.28,0,0,0,0,0,0,0.32,0,0,0,0,0,0.12,0.08
93,0,0.017857143,0,0.071428571,0,0.214285714,0,0.113095238,0,0,0.208333333,0,0.017857143,0.005952381,0.071428571,0,0,0,0,0,0.220238095,0.05952381
94,0.005813953,0.043604651,0,0.10755814,0.002906977,0.029069767,0,0.165697674,0.01744186,0.005813953,0.005813953,0.002906977,0.023255814,0,0.151162791,0,0,0,0,0,0.203488372,0.235465116
95,0.006329114,0.003164557,0,0.091772152,0,0.193037975,0,0.117088608,0.012658228,0.003164557,0.193037975,0,0.018987342,0,0.056962025,0,0.003164557,0.003164557,0,0,0.186708861,0.110759494
96,0,0,0,0.144,0,0.168,0,0.144,0.008,0,0.16,0,0.008,0,0.112,0,0,0,0,0,0.16,0.096
97,0,0.085365854,0,0.109756098,0,0.06097561,0,0.146341463,0,0,0.048780488,0,0.024390244,0,0.170731707,0,0,0,0,0,0.134146341,0.219512195
98,0,0.033333333,0,0.066666667,0.022222222,0.055555556,0,0.144444444,0.011111111,0.011111111,0.055555556,0,0.022222222,0,0.155555556,0.011111111,0,0,0.011111111,0,0.288888889,0.111111111
99,0,0.01754386,0,0.175438596,0,0.070175439,0,0.228070175,0,0,0.070175439,0,0,0,0.052631579,0,0,0,0,0,0.280701754,0.105263158
